Document Name,Sector Codes,Number of Codes,Processing Time,Used OCR Only
2008-32000102.pdf,,0,2024-05-02 16:25:46,False
2004-20600288.pdf,,0,2024-05-02 16:25:46,False
2007-18700096.pdf,,0,2024-05-02 16:25:47,False
2020-35300587.pdf,201; 100,2,2024-05-02 16:25:49,False
2019-34600386.pdf,201,1,2024-05-02 16:25:52,False
2021-64800132.pdf,111106; 20906,2,2024-05-02 16:25:56,False
2014-22200418.pdf,226; 140.348; 140.341,3,2024-05-02 16:25:57,False
2005-20800069.pdf,,0,2024-05-02 16:25:57,False
2005-25700124.pdf,118.00; 220.00,2,2024-05-02 16:25:58,False
2009-39100298.pdf,,0,2024-05-02 16:25:59,False
2010-21000406.pdf,,0,2024-05-02 16:25:59,False
2014-37600199.pdf,14901.21800,1,2024-05-02 16:26:19,True
2021-38600266.pdf,11817; 220,2,2024-05-02 16:26:20,False
2021-20900144.pdf,218; 14901,2,2024-05-02 16:26:23,False
2007-52600029.pdf,220,1,2024-05-02 16:26:55,True
2019-36500257.pdf,218; 100,2,2024-05-02 16:26:58,False
2019-32900498.pdf,218; 126; 124,3,2024-05-02 16:27:01,False
2019-16700338.pdf,218; 14901,2,2024-05-02 16:27:04,False
2018-20100434.pdf,118; 118.122,2,2024-05-02 16:27:05,False
2006-20500122.pdf,,0,2024-05-02 16:27:05,False
2017-61000513.pdf,,0,2024-05-02 16:27:53,True
2006-46402473.pdf,118; 220,2,2024-05-02 16:27:54,False
2021-16800386.pdf,124; 20018,2,2024-05-02 16:27:55,False
2011-24500155.pdf,,0,2024-05-02 16:27:56,False
2014-02500511.pdf,,0,2024-05-02 16:28:42,True
2020-15800601.pdf,218; 14901,2,2024-05-02 16:28:45,False
2006-34000113.pdf,,0,2024-05-02 16:28:45,False
2021-05900284.pdf,20906; 111106,2,2024-05-02 16:28:46,False
2019-51900136.pdf,218; 124,2,2024-05-02 16:28:49,False
2021-40000361.pdf,20018,1,2024-05-02 16:28:50,False
2012-14400246.pdf,,0,2024-05-02 16:28:51,False
2020-26700483.pdf,201,1,2024-05-02 16:28:57,False
2021-17700372.pdf,207; 116,2,2024-05-02 16:29:04,False
2013-03800166.pdf,,0,2024-05-02 16:29:50,True
2018-70700410.pdf,209.029; 111.208; 111.102,3,2024-05-02 16:29:51,False
2005-39400010.pdf,,0,2024-05-02 16:29:51,False
2021-40900082.pdf,201; 20018,2,2024-05-02 16:29:52,False
2008-20700146.pdf,,0,2024-05-02 16:29:52,False
2014-67900477.pdf,226.000; 140.349; 140.341; 218.000; 999.00,5,2024-05-02 16:29:53,False
